country_code,airports,2003,2003,2003,2003,2003,2004,2004,2004,2004,2004,2005,2005,2005,2005,2005,2006,2006,2006,2006,2006,2007,2007,2007,2007,2007,2008,2008,2008,2008,2008,2009,2009,2009,2009,2009,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018
,,f,s,p,avr_d,intra_euro,f,s,p,avr_d,intra_euro,f,s,p,avr_d,intra_euro,f,s,p,avr_d,intra_euro,f,s,p,avr_d,intra_euro,f,s,p,avr_d,intra_euro,f,s,p,avr_d,intra_euro,f,s,p,avr_d,intra_euro,f,s,p,avr_d,intra_euro,f,s,p,avr_d,intra_euro,f,s,p,avr_d,intra_euro,f,s,p,avr_d,intra_euro,f,s,p,avr_d,intra_euro,f,s,p,avr_d,intra_euro,f,s,p,avr_d,intra_euro,f,s,p,avr_d,intra_euro
BE,5,75971.0,9358444.0,5950900.0,1872.6361907772134,0.7834586466165413,81767.0,10282024.0,7037871.0,1711.0905352858488,0.8179519595448799,78232.0,10350705.0,7069286.0,1729.6820923689295,0.7961165048543689,85706.0,10823011.0,7801223.0,1676.3492260812354,0.8085308056872038,90185.0,11828167.0,8371017.0,1686.052912498886,0.81053525913339,96853.0,13194521.0,9154659.0,1886.129787883445,0.7712369597615499,90431.0,12376730.0,8630602.0,1855.142351309659,0.7590634441087614,86290.0,12225736.0,8435024.0,1979.1186856244394,0.7537562604340567,92481.0,13228583.0,9372379.0,2061.5305449138223,0.7296875,91762.0,13769290.0,9856337.0,2148.0324797391963,0.7056179775280899,93196.0,14269925.0,10316391.0,2072.9865826581868,0.7177650429799427,97563.0,15274200.0,11451781.0,2011.2360622195545,0.7369146005509641,102456.0,16431991.0,12527495.0,2016.4608480050692,0.7488464073829928,96655.0,15867973.0,11749432.0,1882.69688491882,0.7926749509483323,106713.0,18020673.0,13622165.0,2008.2538392714375,0.7380396732788798,105600.0,18072404.0,14084090.0,2061.2159696011445,0.7339295695919508
BG,3,,,,,,,,,,,,,,,,,,,,,22776.0,3162471.0,2338162.0,1595.9742640105435,0.8440065681444991,24963.0,3421320.0,2517637.0,1549.8696251080119,0.839622641509434,23301.0,3258348.0,2343619.0,1558.0227832381563,0.8371335504885994,24019.0,3394829.0,2500092.0,1564.1941986521808,0.7984732824427481,26060.0,3748085.0,2810609.0,1550.1281458950752,0.8063583815028902,24990.0,3651886.0,2875446.0,1545.2204728614697,0.831496062992126,23833.0,3653139.0,2937652.0,1552.0116287532162,0.7969465648854962,23631.0,3588953.0,2877673.0,1495.6201547491914,0.7892976588628763,26227.0,4018937.0,3284204.0,1504.8485075750486,0.7967698519515478,28998.0,4618424.0,3707178.0,1511.7333622997596,0.8218997361477572,29743.0,5044006.0,4190211.0,1543.13201499721,0.7947214076246334,32223.0,5492672.0,4576931.0,1557.7773542451162,0.8283870967741935
DK,7,116353.0,15438784.0,8809356.0,1707.5455028827128,0.8793969849246231,133369.0,16925612.0,9830596.0,1842.5119478667386,0.8662952646239555,132120.0,17051489.0,10400126.0,1836.7387761779205,0.8640072529465095,127736.0,15303223.0,10880278.0,1946.4143982675726,0.8623188405797102,128086.0,15989235.0,11369831.0,1927.007211679201,0.8645833333333334,132135.0,16343942.0,11227981.0,1881.2154493942674,0.8649155722326454,120841.0,15183279.0,10459047.0,1760.0844685293646,0.8714285714285714,126708.0,16357085.0,11300579.0,1797.6013912196686,0.8637236084452975,134662.0,17357145.0,12131149.0,1773.1842139564585,0.8745583038869258,122641.0,16715547.0,12250322.0,1887.002137348403,0.8486394557823129,125000.0,17552137.0,12735849.0,2017.7225672869163,0.8515100671140939,130805.0,18193858.0,13648631.0,2010.696884073938,0.8484126984126984,133987.0,18773878.0,14086492.0,1991.9398440451569,0.8519660755589823,140733.0,20523375.0,15521377.0,1951.4043871872057,0.8614718614718615,135942.0,20068087.0,15462722.0,2044.8602143092592,0.8516363636363636,141032.0,21136026.0,16059810.0,1991.270441918362,0.8495049504950495
DE,31,671606.0,87024337.0,60100327.0,2114.9201040621724,0.7948988566402815,731203.0,93928794.0,66692915.0,2073.726354586298,0.800092980009298,750541.0,96845986.0,69074515.0,2061.7767147917566,0.8028066072211665,769194.0,99050210.0,70746608.0,2047.1286861761544,0.7988538681948424,828230.0,110004886.0,80262471.0,2068.8057451146656,0.7956839979808178,832540.0,112451792.0,81793115.0,2084.294262680781,0.7918092765254338,789027.0,109249284.0,78649847.0,2070.7084871767474,0.786767349874146,784553.0,112138252.0,82130094.0,2102.0691259384866,0.7788240975491971,818960.0,119616758.0,87498364.0,2208.227061616204,0.7745558739255014,802543.0,119946068.0,88921388.0,2196.782725477288,0.7732675487777528,771382.0,117360449.0,89113491.0,2221.8701703776273,0.7651076638110674,778077.0,121454370.0,92465869.0,2247.96238420916,0.7655367231638418,780966.0,124618219.0,96031862.0,2266.985897979896,0.7661914917499159,804615.0,130481315.0,99279206.0,2252.79366141828,0.7663203936577365,819202.0,134125308.0,104421805.0,2212.995245520974,0.7599919662582848,846283.0,138804666.0,108519435.0,2197.7552148425684,0.7522089523254685
EE,1,,,,,,,,,,,9441.0,934436.0,589323.0,1255.5554287850084,0.8995215311004785,9392.0,921585.0,628147.0,1321.6215139703174,0.8444444444444444,12101.0,1171382.0,764419.0,1396.9538654718572,0.844,13058.0,1235213.0,771497.0,1441.90155489981,0.7925311203319502,9460.0,884457.0,562746.0,1282.087764717469,0.7865168539325843,9292.0,893076.0,562158.0,1217.105990002424,0.7532467532467533,12375.0,1313827.0,860910.0,1304.485985798575,0.8703703703703703,16401.0,1432432.0,996635.0,1296.2565191174915,0.8292011019283747,11990.0,1170005.0,854277.0,1187.60202873206,0.8453237410071942,12151.0,1266954.0,883536.0,1229.479281623816,0.8273092369477911,13556.0,1390050.0,983809.0,1354.6043668629186,0.8956228956228957,14522.0,1474438.0,1044707.0,1391.7680884910856,0.9051987767584098,14200.0,1449416.0,1022696.0,1181.7987792110214,0.9408866995073891,16311.0,1699129.0,1214964.0,1288.5619737075585,0.8843283582089553
IE,6,84133.0,13070997.0,8974586.0,1592.248397092242,0.8522114347357066,86274.0,13483925.0,9564340.0,1550.0139776288088,0.8571428571428571,94868.0,14394698.0,10838597.0,1417.6395912692055,0.8837814397224631,101697.0,16939680.0,12489967.0,1427.5754944168323,0.9041379310344828,104712.0,17632676.0,12985697.0,1506.282692807272,0.8988982501620221,108317.0,18376613.0,13034593.0,1487.8282501054068,0.902316844082655,90210.0,16008410.0,11340063.0,1494.5782389807998,0.9015721120984279,79722.0,13662781.0,10007642.0,1467.955064950042,0.9117056856187291,79580.0,13366537.0,10134105.0,1547.539976697652,0.9061251664447404,81479.0,13606914.0,10225780.0,1586.55570043089,0.898191560616209,83606.0,13964845.0,10675969.0,1623.9357305579972,0.8888144675150703,89799.0,14849051.0,11538050.0,1716.558381883335,0.8728590250329381,96670.0,16220324.0,13149594.0,1745.1333058222358,0.8746666666666667,106238.0,17901508.0,14711165.0,1801.522232135277,0.87042777433354,109166.0,18499806.0,15427263.0,1817.1989533876751,0.8655360387643852,115454.0,19808567.0,16469367.0,1874.2897315488494,0.8481941309255079
EL,23,134102.0,2617844.0,12744101.0,1794.5420488187356,0.9263768115942029,148936.0,275248.0,13767047.0,1832.9866272473332,0.9205298013245033,143595.0,1032121.0,14280872.0,1821.1023278495725,0.9028856825749167,151802.0,15548054.0,15120030.0,1775.967521615364,0.9059304703476483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141869.0,1975118.0,18614204.0,1764.657471842182,0.8743633276740238,,,,,,,,,,,62051.0,700903.0,7921856.0,1754.3269939096226,0.9184782608695652
ES,34,618704.0,90196368.0,65355616.0,1900.1333346743438,0.942475412878085,677622.0,109234751.0,72048428.0,1850.1590330529853,0.9400865800865801,736227.0,108058389.0,78708345.0,1827.4773554568133,0.9420312746801454,769300.0,111638632.0,82444913.0,1829.5188901729052,0.9375286390713303,829346.0,121702480.0,90573274.0,1872.2933170876784,0.9314079422382672,803000.0,120269808.0,87666619.0,1969.6659404221414,0.9175271926201294,721523.0,112197590.0,81172507.0,1913.381354833516,0.9240471240471241,716545.0,112980793.0,82691912.0,1923.5602931083315,0.9132734003172924,739987.0,117665824.0,87519292.0,1995.6416972532745,0.9064961901071936,665360.0,108195621.0,82545133.0,2032.8896211445428,0.8985602958658038,619103.0,102305830.0,79467219.0,2045.1433519235454,0.8950219241681713,648533.0,106049668.0,84151480.0,2041.3158245099212,0.9010037641154329,669896.0,110636019.0,89666582.0,2035.8555052941804,0.9033535453532978,721564.0,122273545.0,100006568.0,2066.069613734808,0.8967895362663496,766642.0,130522087.0,108072720.0,2076.5445669813216,0.8933348447064158,823849.0,138062315.0,114976661.0,2098.5741631447613,0.8856374394835933
