,month,fr_airport,to_airport,passenger_d
0,2018-08-01,EBAW,LEAL,1211.0
1,2018-08-01,EBAW,LEBL,1339.0
2,2018-08-01,EBAW,LELC,842.0
3,2018-08-01,EBAW,LEMG,1647.0
4,2018-08-01,EBAW,GMMW,731.0
5,2018-08-01,EBAW,EGLC,1532.0
6,2018-08-01,EBBR,OMAA,7192.0
7,2018-08-01,EBBR,OMDB,16326.0
8,2018-08-01,EBBR,LOWW,17541.0
9,2018-08-01,EBBR,DFFD,3333.0
10,2018-08-01,EBBR,CYUL,13176.0
11,2018-08-01,EBBR,CYYZ,5951.0
12,2018-08-01,EBBR,LSGG,21046.0
13,2018-08-01,EBBR,LSZH,11344.0
14,2018-08-01,EBBR,FKKD,7387.0
15,2018-08-01,EBBR,ZBAA,8354.0
16,2018-08-01,EBBR,LKPR,10438.0
17,2018-08-01,EBBR,EDDB,6876.0
18,2018-08-01,EBBR,EDDF,21320.0
19,2018-08-01,EBBR,EDDH,7043.0
20,2018-08-01,EBBR,EDDM,13236.0
21,2018-08-01,EBBR,EDDS,1478.0
22,2018-08-01,EBBR,EDDT,10690.0
23,2018-08-01,EBBR,EKBI,4430.0
24,2018-08-01,EBBR,EKCH,15617.0
25,2018-08-01,EBBR,MDPC,3402.0
26,2018-08-01,EBBR,HEGN,6010.0
27,2018-08-01,EBBR,LGAV,11461.0
28,2018-08-01,EBBR,LGIR,16762.0
29,2018-08-01,EBBR,LGKO,7920.0
30,2018-08-01,EBBR,LGRP,8732.0
31,2018-08-01,EBBR,GCLP,6778.0
32,2018-08-01,EBBR,GCTS,10257.0
33,2018-08-01,EBBR,LEAL,17440.0
34,2018-08-01,EBBR,LEBB,6368.0
35,2018-08-01,EBBR,LEBL,42359.0
36,2018-08-01,EBBR,LEMD,36084.0
37,2018-08-01,EBBR,LEMG,26256.0
38,2018-08-01,EBBR,LEPA,17394.0
39,2018-08-01,EBBR,LEVC,10571.0
40,2018-08-01,EBBR,EFHK,5863.0
41,2018-08-01,EBBR,LFBD,5085.0
42,2018-08-01,EBBR,LFBO,8501.0
43,2018-08-01,EBBR,LFLL,9577.0
44,2018-08-01,EBBR,LFML,6828.0
45,2018-08-01,EBBR,LFMN,19330.0
46,2018-08-01,EBBR,LFPG,7867.0
47,2018-08-01,EBBR,LFRS,2756.0
48,2018-08-01,EBBR,LFSB,3613.0
49,2018-08-01,EBBR,DGAA,6711.0
50,2018-08-01,EBBR,LDZA,5130.0
51,2018-08-01,EBBR,LHBP,7003.0
52,2018-08-01,EBBR,EIDW,18919.0
53,2018-08-01,EBBR,LLBG,17282.0
54,2018-08-01,EBBR,VABB,4179.0
55,2018-08-01,EBBR,BIKF,10338.0
56,2018-08-01,EBBR,LIMC,10881.0
57,2018-08-01,EBBR,LIML,9522.0
58,2018-08-01,EBBR,LIPZ,8202.0
59,2018-08-01,EBBR,LIRF,27491.0
60,2018-08-01,EBBR,LIRN,4700.0
61,2018-08-01,EBBR,RJAA,4554.0
62,2018-08-01,EBBR,EVRA,3248.0
63,2018-08-01,EBBR,GMAD,4839.0
64,2018-08-01,EBBR,GMMN,7178.0
65,2018-08-01,EBBR,GMMW,6234.0
66,2018-08-01,EBBR,GMMX,4087.0
67,2018-08-01,EBBR,GMTT,8603.0
68,2018-08-01,EBBR,LMML,4726.0
69,2018-08-01,EBBR,EHAM,13443.0
70,2018-08-01,EBBR,ENGM,12013.0
71,2018-08-01,EBBR,EPWA,9703.0
72,2018-08-01,EBBR,LPFR,5574.0
73,2018-08-01,EBBR,LPPR,13060.0
74,2018-08-01,EBBR,LPPT,32293.0
75,2018-08-01,EBBR,OTHH,8162.0
76,2018-08-01,EBBR,LROP,5611.0
77,2018-08-01,EBBR,UUDD,4233.0
78,2018-08-01,EBBR,UUEE,7957.0
79,2018-08-01,EBBR,HRYR,8604.0
80,2018-08-01,EBBR,ESGG,7359.0
81,2018-08-01,EBBR,ESSA,5148.0
82,2018-08-01,EBBR,ESSB,5672.0
83,2018-08-01,EBBR,VTBS,5988.0
84,2018-08-01,EBBR,DTTJ,6855.0
85,2018-08-01,EBBR,LTAI,36052.0
86,2018-08-01,EBBR,LTBA,16444.0
87,2018-08-01,EBBR,LTFE,8834.0
